attractive,intelligent,intimidating,strong,id,weighted,Column1
1.933333333,2.666666667,1.666666667,1.466666667,10,1.566666667,f4 c3
1.733333333,2.466666667,1.733333333,1.533333333,15,1.633333333,
1.933333333,2.8,2,1.466666667,14,1.733333333,
2.466666667,2.8,1.8,1.866666667,8,1.833333333,
2.333333333,3,1.6,2.066666667,11,1.833333333,
2.866666667,3,1.733333333,2.066666667,16,1.9,f2 c2
1.8,2.6,2.2,1.666666667,9,1.933333333,
2.066666667,2.666666667,1.933333333,1.933333333,13,1.933333333,
2,2.333333333,1.866666667,2.066666667,1,1.966666667,
2.266666667,2.6,2.2,2,18,2.1,f3 c2
2.4,2.666666667,2.066666667,2.266666667,12,2.166666667,
1.8,2.133333333,2.133333333,2.333333333,7,2.233333333,
2,2.8,2.666666667,2.666666667,3,2.666666667,
1.533333333,2.2,2.733333333,3,5,2.866666667,f1c1
1.6,2.2,2.866666667,3.066666667,17,2.966666667,
1.733333333,2.333333333,3,3.266666667,4,3.133333333,
1.666666667,2.4,2.733333333,3.533333333,6,3.133333333,
1.466666667,2.2,3.4,3.466666667,2,3.433333333,f4 c1
