Pid,gender,age,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.,This avatar looks attractive.,This avatar looks strong.,This avatar looks intelligent.,This avatar looks intimidating.
1,Female,23,1,2,3,3,1,1,2,1,1,1,1,1,1,2,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,
2,Female,21,2,3,2,2,3,1,3,2,2,1,2,2,4,2,3,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,
3,Female,24,2,1,1,1,3,3,3,4,1,1,3,1,3,3,3,2,1,3,1,4,,,,,,,,,,,,,,,,,,,,
4,Male,26,,,,,,,,,,,,,,,,,,,,,5,5,1,4,1,4,1,3,4,1,3,1,3,5,1,4,4,4,2,2
5,Female,23,2,2,1,3,3,1,2,1,1,1,1,2,2,1,1,2,1,3,1,3,,,,,,,,,,,,,,,,,,,,
8,Female,25,3,3,4,2,4,3,3,1,4,3,4,1,5,3,3,1,3,4,2,4,,,,,,,,,,,,,,,,,,,,
9,Male,27,,,,,,,,,,,,,,,,,,,,,1,4,1,3,1,3,3,2,1,1,2,1,1,2,1,4,1,1,3,2
10,Male,27,,,,,,,,,,,,,,,,,,,,,1,5,1,5,2,4,2,3,1,1,1,1,1,3,1,4,2,1,3,3
11,Female,25,1,4,2,4,2,2,2,2,3,2,2,1,3,2,3,1,1,5,1,5,,,,,,,,,,,,,,,,,,,,
12,Female,24,3,4,2,2,4,4,4,1,2,3,2,2,3,3,4,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,
13,Female,34,2,2,2,3,3,2,3,3,2,1,2,1,4,3,4,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,
14,Female,28,3,4,3,4,3,3,4,3,3,2,3,1,4,3,3,2,2,5,3,5,,,,,,,,,,,,,,,,,,,,
15,Male,25,,,,,,,,,,,,,,,,,,,,,4,5,2,4,4,5,2,4,2,1,2,2,3,4,1,4,4,3,3,3
16,Female,27,1,3,1,3,1,1,2,2,1,1,2,1,2,1,2,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,
17,Female,24,3,3,1,1,3,2,1,1,3,1,1,1,3,1,2,1,3,3,1,1,,,,,,,,,,,,,,,,,,,,
18,Male,31,,,,,,,,,,,,,,,,,,,,,4,5,2,5,1,2,2,2,1,1,3,1,2,5,2,5,3,2,4,1
19,Female,24,3,4,4,4,4,2,4,1,1,1,2,1,3,3,4,1,1,4,1,4,,,,,,,,,,,,,,,,,,,,
20,Female,22,2,4,3,4,2,2,4,2,1,1,4,2,4,4,4,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,
21,Male,25,,,,,,,,,,,,,,,,,,,,,4,4,2,4,2,2,2,3,2,1,2,1,1,3,2,3,2,2,2,1
22,Female,21,3,4,3,4,4,4,3,3,3,3,3,3,3,3,3,2,3,4,3,3,,,,,,,,,,,,,,,,,,,,
23,Male,21,,,,,,,,,,,,,,,,,,,,,3,4,2,3,3,4,2,2,2,1,2,2,3,2,2,2,2,2,2,1
24,Male,23,,,,,,,,,,,,,,,,,,,,,2,4,1,4,3,5,3,3,3,1,4,2,3,3,3,4,4,2,4,3
25,Male,22,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,3,4,2,3,1,4,1,3,3,4,2,3,2,4,1
26,Female,21,3,3,3,3,3,3,3,3,3,1,3,2,3,3,3,2,3,4,3,4,,,,,,,,,,,,,,,,,,,,
27,Female,21,2,3,2,2,3,2,2,2,2,2,2,2,2,2,3,2,3,4,2,3,,,,,,,,,,,,,,,,,,,,
28,Male,23,,,,,,,,,,,,,,,,,,,,,3,5,3,3,2,4,3,3,2,1,3,3,3,3,2,2,3,2,3,3
