,GazeTarget,Condition
0,UMA,2
1,UMA,2
2,UMA,2
3,UMA,2
4,UMA,2
5,UMA,2
6,UMA,2
7,UMA,2
8,UMA,2
9,UMA,2
10,UMA,2
11,UMA,2
12,UMA,2
13,UMA,2
14,UMA,2
15,UMA,2
16,UMA,2
17,UMA,2
18,UMA,2
19,UMA,2
20,UMA,2
21,UMA,2
22,UMA,2
23,UMA,2
24,UMA,2
25,UMA,2
26,UMA,2
27,UMA,2
28,UMA,2
29,UMA,2
30,UMA,2
31,UMA,2
32,UMA,2
33,UMA,2
34,UMA,2
35,UMA,2
36,UMA,2
37,UMA,2
38,UMA,2
39,UMA,2
40,UMA,2
41,UMA,2
42,UMA,2
43,UMA,2
44,Ground,2
45,Ground,2
46,Ground,2
47,Ground,2
48,Ground,2
49,Ground,2
50,Ground,2
51,Ground,2
52,Ground,2
53,Ground,2
54,Ground,2
55,Ground,2
56,Ground,2
57,Ground,2
58,Ground,2
59,Ground,2
60,Ground,2
61,Ground,2
62,Ground,2
63,Ground,2
64,UMA,2
65,UMA,2
66,UMA,2
67,UMA,2
68,UMA,2
69,UMA,2
70,UMA,2
71,UMA,2
72,UMA,2
73,UMA,2
74,UMA,2
75,UMA,2
76,UMA,2
77,UMA,2
78,UMA,2
79,UMA,2
80,UMA,2
81,UMA,2
82,UMA,2
83,UMA,2
84,UMA,2
85,UMA,2
86,UMA,2
87,UMA,2
88,UMA,2
89,UMA,2
90,UMA,2
91,UMA,2
92,UMA,2
93,UMA,2
94,UMA,2
95,UMA,2
96,UMA,2
97,UMA,2
98,UMA,2
99,UMA,2
100,UMA,2
101,UMA,2
102,UMA,2
103,UMA,2
104,UMA,2
105,UMA,2
106,UMA,2
107,UMA,2
108,UMA,2
109,UMA,2
110,UMA,2
111,UMA,2
112,UMA,2
113,UMA,2
114,UMA,2
115,UMA,2
116,UMA,2
117,UMA,2
118,UMA,2
119,UMA,2
120,UMA,2
121,UMA,2
122,UMA,2
123,UMA,2
124,UMA,2
125,UMA,2
126,UMA,2
127,UMA,2
128,UMA,2
129,UMA,2
130,UMA,2
131,UMA,2
132,QUIZZ,2
133,QUIZZ,2
134,QUIZZ,2
135,QUIZZ,2
136,QUIZZ,2
137,QUIZZ,2
138,QUIZZ,2
139,QUIZZ,2
140,QUIZZ,2
141,QUIZZ,2
142,QUIZZ,2
143,QUIZZ,2
144,QUIZZ,2
145,QUIZZ,2
146,QUIZZ,2
147,QUIZZ,2
148,QUIZZ,2
149,QUIZZ,2
150,QUIZZ,2
151,QUIZZ,2
152,QUIZZ,2
153,QUIZZ,2
154,QUIZZ,2
155,QUIZZ,2
156,QUIZZ,2
157,QUIZZ,2
158,QUIZZ,2
159,QUIZZ,2
160,QUIZZ,2
161,QUIZZ,2
162,QUIZZ,2
163,QUIZZ,2
164,QUIZZ,2
165,QUIZZ,2
166,QUIZZ,2
167,QUIZZ,2
168,QUIZZ,2
169,QUIZZ,2
170,QUIZZ,2
171,QUIZZ,2
172,QUIZZ,2
173,QUIZZ,2
174,QUIZZ,2
175,QUIZZ,2
176,QUIZZ,2
177,QUIZZ,2
178,QUIZZ,2
179,QUIZZ,2
180,QUIZZ,2
181,QUIZZ,2
182,QUIZZ,2
183,QUIZZ,2
184,QUIZZ,2
185,QUIZZ,2
186,QUIZZ,2
187,QUIZZ,2
188,QUIZZ,2
189,QUIZZ,2
190,QUIZZ,2
191,QUIZZ,2
192,QUIZZ,2
193,QUIZZ,2
194,QUIZZ,2
195,QUIZZ,2
196,QUIZZ,2
197,QUIZZ,2
198,QUIZZ,2
199,QUIZZ,2
200,QUIZZ,2
201,QUIZZ,2
202,QUIZZ,2
203,QUIZZ,2
204,QUIZZ,2
205,QUIZZ,2
206,QUIZZ,2
207,QUIZZ,2
208,QUIZZ,2
209,QUIZZ,2
210,QUIZZ,2
211,QUIZZ,2
212,QUIZZ,2
213,QUIZZ,2
214,QUIZZ,2
215,QUIZZ,2
216,QUIZZ,2
217,QUIZZ,2
218,QUIZZ,2
219,QUIZZ,2
220,QUIZZ,2
221,QUIZZ,2
222,QUIZZ,2
223,QUIZZ,2
224,QUIZZ,2
225,QUIZZ,2
226,QUIZZ,2
227,QUIZZ,2
228,QUIZZ,2
229,QUIZZ,2
230,QUIZZ,2
231,QUIZZ,2
232,QUIZZ,2
233,QUIZZ,2
234,QUIZZ,2
235,QUIZZ,2
236,QUIZZ,2
237,QUIZZ,2
238,QUIZZ,2
239,QUIZZ,2
240,QUIZZ,2
241,QUIZZ,2
242,QUIZZ,2
243,QUIZZ,2
244,QUIZZ,2
245,QUIZZ,2
246,QUIZZ,2
247,QUIZZ,2
248,QUIZZ,2
249,QUIZZ,2
250,QUIZZ,2
251,QUIZZ,2
252,QUIZZ,2
253,QUIZZ,2
254,QUIZZ,2
255,QUIZZ,2
256,QUIZZ,2
257,QUIZZ,2
258,QUIZZ,2
259,QUIZZ,2
260,QUIZZ,2
261,QUIZZ,2
262,QUIZZ,2
263,QUIZZ,2
264,QUIZZ,2
265,UMA,5
266,UMA,5
267,UMA,5
268,UMA,5
269,UMA,5
270,UMA,5
271,UMA,5
272,UMA,5
273,UMA,5
274,UMA,5
275,UMA,5
276,UMA,5
277,UMA,5
278,UMA,5
279,UMA,5
280,UMA,5
281,UMA,5
282,UMA,5
283,UMA,5
284,UMA,5
285,UMA,5
286,UMA,5
287,UMA,5
288,UMA,5
289,UMA,5
290,UMA,5
291,UMA,5
292,UMA,5
293,UMA,5
294,UMA,5
295,UMA,5
296,UMA,5
297,UMA,5
298,UMA,5
299,UMA,5
300,UMA,5
301,UMA,5
302,UMA,5
303,UMA,5
304,UMA,5
305,UMA,5
306,UMA,5
307,UMA,5
308,UMA,5
309,UMA,5
310,UMA,5
311,UMA,5
312,UMA,5
313,UMA,5
314,UMA,5
315,UMA,5
316,UMA,5
317,UMA,5
318,UMA,5
319,UMA,5
320,UMA,5
321,UMA,5
322,Ground,5
323,Ground,5
324,UMA,5
325,UMA,5
326,UMA,5
327,UMA,5
328,UMA,5
329,UMA,5
330,UMA,5
331,UMA,5
332,UMA,5
333,UMA,5
334,UMA,5
335,UMA,5
336,UMA,5
337,UMA,5
338,UMA,5
339,UMA,5
340,UMA,5
341,UMA,5
342,UMA,5
343,UMA,5
344,UMA,5
345,UMA,5
346,UMA,5
347,UMA,5
348,UMA,5
349,UMA,5
350,UMA,5
351,UMA,5
352,UMA,5
353,UMA,5
354,UMA,5
355,UMA,5
356,UMA,5
357,UMA,5
358,UMA,5
359,UMA,5
360,UMA,5
361,UMA,5
362,UMA,5
363,UMA,5
364,UMA,5
365,UMA,5
366,UMA,5
367,UMA,5
368,UMA,5
369,UMA,5
370,UMA,5
371,UMA,5
372,UMA,5
373,UMA,5
374,UMA,5
375,UMA,5
376,UMA,5
377,UMA,5
378,UMA,5
379,UMA,5
380,UMA,5
381,UMA,5
382,UMA,5
383,UMA,5
384,UMA,5
385,UMA,5
386,QUIZZ,5
387,QUIZZ,5
388,QUIZZ,5
389,QUIZZ,5
390,QUIZZ,5
391,QUIZZ,5
392,QUIZZ,5
393,QUIZZ,5
394,QUIZZ,5
395,QUIZZ,5
396,QUIZZ,5
397,QUIZZ,5
398,QUIZZ,5
399,QUIZZ,5
400,QUIZZ,5
401,QUIZZ,5
402,QUIZZ,5
403,QUIZZ,5
404,QUIZZ,5
405,QUIZZ,5
406,QUIZZ,5
407,QUIZZ,5
408,QUIZZ,5
409,QUIZZ,5
410,QUIZZ,5
411,QUIZZ,5
412,QUIZZ,5
413,QUIZZ,5
414,QUIZZ,5
415,QUIZZ,5
416,QUIZZ,5
417,QUIZZ,5
418,QUIZZ,5
419,QUIZZ,5
420,QUIZZ,5
421,QUIZZ,5
422,QUIZZ,5
423,QUIZZ,5
424,QUIZZ,5
425,QUIZZ,5
426,QUIZZ,5
427,QUIZZ,5
428,QUIZZ,5
429,QUIZZ,5
430,QUIZZ,5
431,QUIZZ,5
432,QUIZZ,5
433,QUIZZ,5
434,QUIZZ,5
435,QUIZZ,5
436,QUIZZ,5
437,QUIZZ,5
438,QUIZZ,5
439,QUIZZ,5
440,QUIZZ,5
441,QUIZZ,5
442,QUIZZ,5
443,QUIZZ,5
444,QUIZZ,5
445,QUIZZ,5
446,QUIZZ,5
447,QUIZZ,5
448,QUIZZ,5
449,QUIZZ,5
450,QUIZZ,5
451,QUIZZ,5
452,QUIZZ,5
453,QUIZZ,5
454,QUIZZ,5
455,QUIZZ,5
456,QUIZZ,5
457,QUIZZ,5
458,QUIZZ,5
459,QUIZZ,5
460,QUIZZ,5
461,QUIZZ,5
462,QUIZZ,5
463,QUIZZ,5
464,QUIZZ,5
465,QUIZZ,5
466,QUIZZ,5
467,QUIZZ,5
468,QUIZZ,5
469,QUIZZ,5
470,QUIZZ,5
471,QUIZZ,5
472,QUIZZ,5
473,QUIZZ,5
474,QUIZZ,5
475,QUIZZ,5
476,QUIZZ,5
477,QUIZZ,5
478,QUIZZ,5
479,QUIZZ,5
480,QUIZZ,5
481,QUIZZ,5
482,QUIZZ,5
483,QUIZZ,5
484,QUIZZ,5
485,QUIZZ,5
486,QUIZZ,5
487,QUIZZ,5
488,QUIZZ,5
489,QUIZZ,5
490,QUIZZ,5
491,QUIZZ,5
492,QUIZZ,5
493,QUIZZ,5
494,QUIZZ,5
495,QUIZZ,5
496,QUIZZ,5
497,QUIZZ,5
498,QUIZZ,5
499,QUIZZ,5
500,QUIZZ,5
501,QUIZZ,5
502,QUIZZ,5
503,QUIZZ,5
504,QUIZZ,5
505,QUIZZ,5
506,QUIZZ,5
507,UMA,4
508,UMA,4
509,UMA,4
510,UMA,4
511,UMA,4
512,UMA,4
513,UMA,4
514,UMA,4
515,UMA,4
516,UMA,4
517,UMA,4
518,UMA,4
519,UMA,4
520,UMA,4
521,UMA,4
522,UMA,4
523,UMA,4
524,UMA,4
525,UMA,4
526,UMA,4
527,UMA,4
528,UMA,4
529,UMA,4
530,UMA,4
531,UMA,4
532,UMA,4
533,UMA,4
534,UMA,4
535,UMA,4
536,UMA,4
537,UMA,4
538,UMA,4
539,UMA,4
540,UMA,4
541,UMA,4
542,UMA,4
543,UMA,4
544,UMA,4
545,UMA,4
546,UMA,4
547,UMA,4
548,UMA,4
549,UMA,4
550,UMA,4
551,UMA,4
552,UMA,4
553,UMA,4
554,UMA,4
555,UMA,4
556,Ground,4
557,Ground,4
558,Ground,4
559,Ground,4
560,LineAvatar,4
561,LineAvatar,4
562,LineAvatar,4
563,LineAvatar,4
564,Ground,4
565,Ground,4
566,Hole,4
567,UMA,4
568,UMA,4
569,UMA,4
570,UMA,4
571,UMA,4
572,UMA,4
573,UMA,4
574,UMA,4
575,UMA,4
576,UMA,4
577,UMA,4
578,UMA,4
579,UMA,4
580,UMA,4
581,UMA,4
582,UMA,4
