,Pid,Gender,VRUse,TugOfWarUse,"How aware were you of the real world surrounding while navigating in the virtual world? (i.e. sounds, room temperature, other people, etc.)? ",How real did the virtual world seem to you? ,How much did your experience in the virtual environment seem consistent with your real world experience ? ,I felt present in the virtual space. ,"In the computer generated world I had a sense of ""being there"".","I felt as if the virtual arm moved just like I wanted it to, as if it was obeying my will.",I expected the virtual arm to react in the same way as my own arm.,I felt that the interaction with the environment was realistic.,I felt like I controlled the virtual arm.,I felt as if the virtual arm was part of my body.,I felt as if the virtual arm was someone else’s.,My opponents were intensely involved in our interaction. ,To what extent did you feel able to assess your opponents’ reactions?,To what extent was this like you were in the same room with your opponents?
0,1,Female,Yes,No,3,4,3,3,3,1,5,3,2,3,4,4,3,4
1,2,Female,Yes,Yes,3,4,4,4,4,3,4,3,3,4,1,4,3,4
2,3,Female,Yes,No,3,4,4,4,4,3,4,4,5,4,1,3,2,5
3,4,Male,Yes,Yes,1,3,4,5,4,3,4,4,5,4,1,4,4,3
4,5,Female,Yes,No,2,3,4,4,5,4,5,3,3,4,2,2,1,5
5,8,Female,Yes,No,1,3,4,4,4,5,5,3,4,4,2,5,4,3
6,9,Male,Yes,No,3,4,5,4,4,5,5,4,5,5,1,2,1,4
7,10,Male,No,Yes,3,3,2,5,5,5,5,2,5,5,1,3,5,5
8,11,Female,Yes,No,5,3,3,4,4,2,5,3,4,3,2,4,3,4
9,12,Female,No,No,4,5,5,5,5,5,4,4,5,4,4,4,5,5
10,13,Female,No,Yes,3,3,3,4,4,4,4,4,4,3,3,4,4,4
11,14,Female,Yes,No,3,4,4,5,5,5,5,4,4,3,2,4,3,4
12,15,Male,Yes,Yes,2,4,4,4,4,5,5,5,5,5,1,4,3,4
13,16,Female,Yes,No,2,4,4,4,4,4,5,5,5,5,1,4,3,3
14,17,Female,Yes,No,2,3,1,5,4,3,4,2,4,1,4,2,2,5
15,18,Male,Yes,No,2,4,3,4,4,3,4,4,4,4,2,3,4,5
16,19,Female,No,Yes,4,4,4,4,5,5,5,5,4,5,2,3,2,3
17,20,Female,No,Yes,2,2,3,4,3,5,5,5,5,4,1,4,2,4
18,21,Male,No,No,2,4,3,3,3,5,5,5,5,5,1,3,3,4
19,22,Female,Yes,No,2,2,2,3,4,5,5,4,5,5,1,5,5,3
20,23,Male,No,Yes,4,3,2,3,3,2,4,2,3,4,1,2,3,4
21,24,Male,Yes,No,3,3,4,5,5,5,5,4,5,2,3,4,3,5
22,25,Male,No,Yes,3,3,2,4,4,3,4,3,5,4,2,3,2,4
23,26,Female,No,No,3,2,3,5,5,3,4,4,5,5,2,4,3,5
24,27,Female,Yes,No,4,3,2,4,4,3,4,3,4,4,3,3,3,3
25,28,Male,Yes,Yes,1,4,3,4,4,3,4,4,5,3,1,3,3,5
